Id;SepalLengthCm;SepalWidthCm;PetalLengthCm;PetalWidthCm;Species
1;5.Jan;3.May;1.Apr;0.2;Iris-setosa
2;;abc;1.Apr;0.2;Iris-setosa
3;;3.Feb;def;1000;
4;;3.Jan;1.May;200;Iris-setosa
5;5;3.Jun;1.Apr;0.2;Iris-setosa
6;5.Apr;3.Sep;1.Jul;0.4;
7;4.Jun;3.Apr;1.Apr;0.3;Iris-setosa
8;5;3.Apr;1.May;0.2;Iris-setosa
9;4.Apr;2.Sep;1.Apr;0.2;Iris-setosa
10;4.Sep;3.Jan;1.May;0.1;Iris-setosa
11;5.Apr;3.Jul;1.May;0.2;Iris-setosa
12;4.Aug;3.Apr;1.Jun;0.2;Iris-setosa
13;4.Aug;3;1.Apr;0.1;Iris-setosa
14;4.Mar;3;1.Jan;0.1;Iris-setosa
15;5.Aug;4;1.Feb;0.2;Iris-setosa
16;5.Jul;4.Apr;1.May;0.4;Iris-setosa
17;5.Apr;3.Sep;1.Mar;0.4;Iris-setosa
18;5.Jan;3.May;1.Apr;0.3;Iris-setosa
19;5.Jul;3.Aug;1.Jul;0.3;Iris-setosa
20;5.Jan;3.Aug;1.May;0.3;Iris-setosa
21;5.Apr;3.Apr;1.Jul;0.2;Iris-setosa
22;5.Jan;3.Jul;1.May;0.4;Iris-setosa
23;4.Jun;3.Jun;1;0.2;Iris-setosa
24;5.Jan;3.Mar;1.Jul;0.5;Iris-setosa
25;4.Aug;3.Apr;1.Sep;0.2;Iris-setosa
26;5;3;1.Jun;0.2;Iris-setosa
27;5;3.Apr;1.Jun;0.4;Iris-setosa
28;5.Feb;3.May;1.May;0.2;Iris-setosa
29;5.Feb;3.Apr;1.Apr;0.2;Iris-setosa
30;4.Jul;3.Feb;1.Jun;0.2;Iris-setosa
31;4.Aug;3.Jan;1.Jun;0.2;Iris-setosa
32;5.Apr;3.Apr;1.May;0.4;Iris-setosa
33;5.Feb;4.Jan;1.May;0.1;Iris-setosa
34;5.May;4.Feb;1.Apr;0.2;Iris-setosa
35;4.Sep;3.Jan;1.May;0.1;Iris-setosa
36;5;3.Feb;1.Feb;0.2;Iris-setosa
37;5.May;3.May;1.Mar;0.2;Iris-setosa
38;4.Sep;3.Jan;1.May;0.1;Iris-setosa
39;4.Apr;3;1.Mar;0.2;Iris-setosa
40;5.Jan;3.Apr;1.May;0.2;Iris-setosa
41;5;3.May;1.Mar;0.3;Iris-setosa
42;4.May;2.Mar;1.Mar;0.3;Iris-setosa
43;4.Apr;3.Feb;1.Mar;0.2;Iris-setosa
44;5;3.May;1.Jun;0.6;Iris-setosa
45;5.Jan;3.Aug;1.Sep;0.4;Iris-setosa
46;4.Aug;3;1.Apr;0.3;Iris-setosa
47;5.Jan;3.Aug;1.Jun;0.2;Iris-setosa
48;4.Jun;3.Feb;1.Apr;0.2;Iris-setosa
49;5.Mar;3.Jul;1.May;0.2;Iris-setosa
50;5;3.Mar;1.Apr;0.2;Iris-setosa
51;7;3.Feb;4.Jul;1.Apr;Iris-versicolor
52;6.Apr;3.Feb;4.May;1.May;Iris-versicolor
53;6.Sep;3.Jan;4.Sep;1.May;Iris-versicolor
54;5.May;2.Mar;4;1.Mar;Iris-versicolor
55;6.May;2.Aug;4.Jun;1.May;Iris-versicolor
56;5.Jul;2.Aug;4.May;1.Mar;Iris-versicolor
57;6.Mar;3.Mar;4.Jul;1.Jun;Iris-versicolor
58;4.Sep;2.Apr;3.Mar;1;Iris-versicolor
59;6.Jun;2.Sep;4.Jun;1.Mar;Iris-versicolor
60;5.Feb;2.Jul;3.Sep;1.Apr;Iris-versicolor
61;5;2;3.May;1;Iris-versicolor
62;5.Sep;3;4.Feb;1.May;Iris-versicolor
63;6;2.Feb;4;1;Iris-versicolor
64;6.Jan;2.Sep;4.Jul;1.Apr;Iris-versicolor
65;5.Jun;2.Sep;3.Jun;1.Mar;Iris-versicolor
66;6.Jul;3.Jan;4.Apr;1.Apr;Iris-versicolor
67;5.Jun;3;4.May;1.May;Iris-versicolor
68;5.Aug;2.Jul;4.Jan;1;Iris-versicolor
69;6.Feb;2.Feb;4.May;1.May;Iris-versicolor
70;5.Jun;2.May;3.Sep;1.Jan;Iris-versicolor
71;5.Sep;3.Feb;4.Aug;1.Aug;Iris-versicolor
72;6.Jan;2.Aug;4;1.Mar;Iris-versicolor
73;6.Mar;2.May;4.Sep;1.May;Iris-versicolor
74;6.Jan;2.Aug;4.Jul;1.Feb;Iris-versicolor
75;6.Apr;2.Sep;4.Mar;1.Mar;Iris-versicolor
76;6.Jun;3;4.Apr;1.Apr;Iris-versicolor
77;6.Aug;2.Aug;4.Aug;1.Apr;Iris-versicolor
78;6.Jul;3;5;1.Jul;Iris-versicolor
79;6;2.Sep;4.May;1.May;Iris-versicolor
80;5.Jul;2.Jun;3.May;1;Iris-versicolor
81;5.May;2.Apr;3.Aug;1.Jan;Iris-versicolor
82;5.May;2.Apr;3.Jul;1;Iris-versicolor
